fid,chars,items,per1k,diag,sym,drug,labn,labr,neg,hist,nested,wide,bad_icd,bad_rx,long,risk
74,1805,9,5.0,0,7,0,1,1,4,0,0,0,0,0,0,ok
75,1828,10,5.5,0,7,1,1,1,1,0,0,0,0,0,0,ok
76,1255,15,12.0,1,8,0,3,3,0,1,0,0,0,0,0,ok
77,1232,2,1.6,0,2,0,0,0,0,0,0,0,0,0,0,under_extract;very_sparse
78,589,5,8.5,0,5,0,0,0,0,0,0,0,0,0,0,ok
79,344,4,11.6,2,2,0,0,0,0,2,0,0,0,0,0,ok
80,581,3,5.2,3,0,0,0,0,0,0,0,0,0,0,0,ok
81,462,3,6.5,3,0,0,0,0,0,0,0,0,0,0,0,ok
82,1251,8,6.4,1,6,0,1,0,0,0,0,0,0,0,0,ok
83,414,2,4.8,0,2,0,0,0,0,0,0,0,0,0,0,ok
84,1415,8,5.7,4,4,0,0,0,0,5,0,0,0,0,0,ok
85,611,7,11.5,7,0,0,0,0,0,7,0,0,0,0,0,ok
86,859,2,2.3,0,2,0,0,0,0,0,0,0,0,0,0,under_extract;very_sparse
87,1177,7,5.9,4,3,0,0,0,0,2,0,0,0,0,0,ok
88,964,11,11.4,10,1,0,0,0,0,5,0,0,0,0,0,ok
89,1438,10,7.0,5,2,3,0,0,0,8,0,0,0,0,0,ok
90,235,5,21.3,3,2,0,0,0,0,0,0,0,0,0,0,ok
91,1163,7,6.0,0,5,0,1,1,5,0,0,0,0,0,0,ok
92,612,1,1.6,0,0,0,1,0,0,0,0,0,0,0,0,very_sparse
93,373,1,2.7,0,1,0,0,0,0,0,0,0,0,0,0,very_sparse
94,887,12,13.5,0,10,0,1,1,1,0,0,0,0,0,0,ok
95,673,7,10.4,0,7,0,0,0,4,7,0,0,0,0,0,ok
96,1639,18,11.0,13,5,0,0,0,1,4,0,0,0,0,0,ok
97,1255,9,7.2,0,2,0,4,3,0,0,0,0,0,0,0,ok
98,499,3,6.0,2,1,0,0,0,0,3,0,0,0,0,0,ok
99,341,5,14.7,0,5,0,0,0,0,0,0,0,0,0,0,ok
100,1513,5,3.3,0,4,0,1,0,3,0,0,0,0,0,0,ok
